frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
video1/v01_20-16_f00054_t01.82_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00081_t02.73_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00081_t02.73_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00081_t02.73_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,0,56,chair,True,0.2313,True,0.2289,False,,False,,False,,True,0.2261,False,,False,,True,3,raw|gaussian|clahe,
video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,True,0.2003,False,,False,,True,1,clahe,clahe
video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
