degradation,severity,filter,psnr,ssim,precision,recall,map50,preprocess_ms,yolo_ms,total_ms,n_images
none,-,raw,inf,1.0,0.7723,0.5591,0.5398,0.001,170.597,170.597,40
none,-,gaussian,26.142,0.789,0.7811,0.4731,0.4815,1.296,38.519,39.814,40
none,-,bilateral,32.159,0.8852,0.7371,0.5627,0.4957,13.309,42.63,55.94,40
none,-,wiener_denoise,30.658,0.8258,0.7795,0.5448,0.5064,63.889,45.941,109.829,40
none,-,wiener_deconv,13.462,0.2191,0.4167,0.0179,0.0078,59.92,43.212,103.132,40
none,-,clahe,19.986,0.8408,0.7665,0.5412,0.5196,7.73,39.67,47.4,40
noise,mild,raw,28.34,0.6916,0.7943,0.4982,0.5005,0.001,42.634,42.635,40
noise,mild,gaussian,25.91,0.7592,0.761,0.4337,0.4314,0.706,40.633,41.339,40
noise,mild,bilateral,31.521,0.8707,0.7488,0.5448,0.4787,11.141,44.391,55.532,40
noise,mild,wiener_denoise,29.287,0.7951,0.7553,0.509,0.4671,62.663,47.294,109.957,40
noise,mild,wiener_deconv,12.271,0.07,0.0,0.0,0.0,58.827,45.484,104.311,40
noise,mild,clahe,18.156,0.5304,0.7654,0.491,0.4529,4.021,48.645,52.667,40
noise,medium,raw,20.653,0.3923,0.7279,0.3548,0.322,0.001,46.576,46.577,40
noise,medium,gaussian,24.951,0.6667,0.7612,0.3656,0.3473,0.781,46.331,47.112,40
noise,medium,bilateral,28.047,0.7324,0.7561,0.4444,0.3733,12.397,45.082,57.48,40
noise,medium,wiener_denoise,26.348,0.6916,0.7517,0.3907,0.3387,63.939,50.393,114.332,40
noise,medium,wiener_deconv,9.807,0.0324,0.0,0.0,0.0,56.637,43.696,100.333,40
noise,medium,clahe,14.951,0.3236,0.7114,0.3799,0.3066,4.947,65.661,70.608,40
noise,strong,raw,15.961,0.2349,0.7093,0.2186,0.1685,0.001,52.025,52.026,40
noise,strong,gaussian,23.194,0.542,0.7857,0.276,0.2567,0.76,40.411,41.171,40
noise,strong,bilateral,21.095,0.3961,0.7727,0.3047,0.2524,11.275,39.439,50.714,40
noise,strong,wiener_denoise,23.17,0.532,0.7849,0.2616,0.2144,64.088,46.672,110.76,40
noise,strong,wiener_deconv,8.044,0.0187,0.0,0.0,0.0,60.135,41.105,101.24,40
noise,strong,clahe,12.292,0.2099,0.7941,0.1935,0.1273,3.571,54.948,58.519,40
