video,filter,n_frames,mean_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms
video1,bilateral,12,1.167,0.1017,11.19,22.066,33.255
video1,clahe,12,2.0,0.0896,12.548,24.272,36.82
video1,gaussian,12,1.583,0.1649,1.76,21.775,23.534
video1,raw,12,1.75,0.1462,0.006,301.692,301.698
video1,wiener_deconv,12,0.083,0.0281,67.889,26.652,94.542
video1,wiener_denoise,12,1.333,0.1335,51.656,25.699,77.355
video2,bilateral,12,0.167,0.0572,10.442,17.835,28.277
video2,clahe,12,0.5,0.0844,4.049,20.672,24.72
video2,gaussian,12,0.333,0.118,0.629,18.543,19.173
video2,raw,12,0.417,0.1473,0.0,24.275,24.275
video2,wiener_deconv,12,0.0,0.0,71.983,25.125,97.108
video2,wiener_denoise,12,0.25,0.0957,56.229,23.713,79.941
video3,bilateral,12,1.083,0.1193,11.063,19.998,31.061
video3,clahe,12,1.083,0.1313,3.887,18.447,22.334
video3,gaussian,12,1.25,0.1278,0.828,18.385,19.213
video3,raw,12,1.333,0.2181,0.001,30.073,30.074
video3,wiener_deconv,12,0.083,0.0177,67.312,26.0,93.312
video3,wiener_denoise,12,1.25,0.1408,51.452,26.94,78.391
video4,bilateral,12,2.833,0.3248,10.167,20.067,30.233
video4,clahe,12,3.417,0.4382,3.632,19.406,23.037
video4,gaussian,12,3.0,0.3986,0.706,19.69,20.396
video4,raw,12,3.417,0.369,0.001,27.072,27.074
video4,wiener_deconv,12,0.083,0.0133,66.841,27.609,94.449
video4,wiener_denoise,12,3.333,0.3619,53.379,28.759,82.138
video5,bilateral,12,0.417,0.0507,10.639,17.063,27.702
video5,clahe,12,0.167,0.02,3.832,16.408,20.24
video5,gaussian,12,0.583,0.1047,0.743,16.342,17.085
video5,raw,12,0.333,0.0915,0.0,18.673,18.673
video5,wiener_deconv,12,0.083,0.0149,65.252,24.882,90.135
video5,wiener_denoise,12,0.417,0.073,49.112,21.675,70.788
video6,bilateral,12,0.667,0.2158,10.219,17.274,27.494
video6,clahe,12,0.917,0.2084,3.839,17.63,21.469
video6,gaussian,12,1.0,0.2468,0.662,17.774,18.436
video6,raw,12,1.083,0.2877,0.0,18.849,18.85
video6,wiener_deconv,12,0.0,0.0,66.636,24.852,91.488
video6,wiener_denoise,12,0.917,0.2613,51.37,24.86,76.23
video7,bilateral,12,0.083,0.0133,14.357,20.244,34.601
video7,clahe,12,0.333,0.0869,4.084,22.71,26.794
video7,gaussian,12,0.167,0.0141,1.615,17.075,18.689
video7,raw,12,0.25,0.0646,0.001,23.057,23.058
video7,wiener_deconv,12,0.083,0.0138,67.842,25.892,93.734
video7,wiener_denoise,12,0.0,0.0,59.327,23.314,82.641
