method,quality_group,precision,recall,map50,map50_95,preprocess_ms_mean,preprocess_ms_std,total_latency_ms,estimated_fps,num_frames
raw,overall,0.8738,0.2616,0.2591,0.2591,0.244,0.369,46.432,21.54,81
raw,clear,0.8704,0.376,0.3761,0.3761,0.224,0.425,96.38,10.38,27
raw,moderate_blur,0.881,0.2403,0.2657,0.2657,0.292,0.349,21.959,45.54,35
raw,severe_blur,0.8571,0.0923,0.1271,0.1271,0.188,0.304,20.622,48.49,19
wiener_denoise,overall,0.8778,0.2297,0.2227,0.2129,54.372,8.609,79.673,12.55,81
wiener_denoise,clear,0.8491,0.36,0.3297,0.3109,53.88,7.407,80.244,12.46,27
wiener_denoise,moderate_blur,0.9355,0.1883,0.2231,0.218,53.372,10.016,78.761,12.7,35
wiener_denoise,severe_blur,0.8333,0.0769,0.0588,0.0576,56.693,6.979,80.433,12.43,19
wiener_deconv,overall,0.0,0.0,0.0,0.0,70.38,9.678,97.695,10.24,81
wiener_deconv,clear,0.0,0.0,0.0,0.0,67.871,6.299,95.314,10.49,27
wiener_deconv,moderate_blur,0.0,0.0,0.0,0.0,71.622,12.527,98.859,10.12,35
wiener_deconv,severe_blur,0.0,0.0,0.0,0.0,71.654,6.898,98.931,10.11,19
clahe,overall,0.7129,0.2093,0.183,0.1647,5.663,11.928,26.132,38.27,81
clahe,clear,0.7547,0.32,0.3473,0.3197,8.221,20.361,29.486,33.91,27
clahe,moderate_blur,0.6923,0.1753,0.0881,0.0778,4.484,1.127,24.756,40.39,35
clahe,severe_blur,0.5556,0.0769,0.0871,0.0747,4.218,1.034,23.951,41.75,19
temporal_fixed,overall,0.6786,0.1657,0.2101,0.2013,103.696,16.38,131.763,7.59,81
temporal_fixed,clear,0.717,0.304,0.3119,0.2945,94.873,23.294,123.08,8.12,27
temporal_fixed,moderate_blur,0.75,0.1169,0.2017,0.1954,106.789,7.057,134.837,7.42,35
temporal_fixed,severe_blur,0.1429,0.0154,0.0059,0.0018,110.303,10.166,138.218,7.23,19
temporal_quality_weighted,overall,0.5747,0.1453,0.1953,0.1894,109.009,17.333,128.874,7.76,81
temporal_quality_weighted,clear,0.6667,0.288,0.3022,0.2868,99.898,24.47,120.463,8.3,27
temporal_quality_weighted,moderate_blur,0.5833,0.0909,0.195,0.1919,112.408,8.124,132.165,7.57,35
temporal_quality_weighted,severe_blur,0.0,0.0,0.0,0.0,115.493,11.017,134.605,7.43,19
