method,frame_id,video,target_frame,timestamp,quality_group,detection_index,class_id,class,confidence,track_id,missed_frames_before_target,persisted,is_true_positive,is_false_positive,is_stale_persisted_fp,x1,y1,x2,y2
bytetrack_persist_1,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,8,1,True,True,False,False,190.239,40.368,493.215,365.144
bytetrack_persist_3,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,8,1,True,True,False,False,190.239,40.368,493.215,365.144
bytetrack_persist_5,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,8,1,True,True,False,False,190.239,40.368,493.215,365.144
botsort_persist_1,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,7,1,True,True,False,False,171.123,43.52,482.352,367.037
botsort_persist_3,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,7,1,True,True,False,False,171.123,43.52,482.352,367.037
botsort_persist_5,video1/v01_20-16_f00081_t02.73_clear,video1,76,02.73,clear,0,56,chair,0.2263,7,1,True,True,False,False,171.123,43.52,482.352,367.037
raw,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.5354,17,0,False,True,False,False,65.738,187.676,425.123,413.068
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,1,56,chair,0.2189,16,3,True,True,False,False,514.132,58.059,632.453,270.705
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,2,56,chair,0.3209,13,3,True,True,False,False,0.0,0.0,421.431,421.474
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,1,56,chair,0.2189,16,3,True,True,False,False,514.132,58.059,632.453,270.705
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,2,56,chair,0.3209,13,3,True,True,False,False,0.0,0.0,421.431,421.474
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.5354,16,0,False,True,False,False,36.262,187.425,457.819,412.814
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
botsort_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,158,05.45,moderate_blur,0,56,chair,0.2313,,0,False,True,False,False,32.864,184.123,448.745,415.281
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,56,chair,0.8143,,0,False,True,False,False,0.388,1.077,152.247,250.654
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.6588,,0,False,True,False,False,211.016,173.806,544.204,419.578
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.5805,,0,False,True,False,False,0.35,227.757,184.867,412.383
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.3457,,0,False,True,False,False,159.936,1.329,351.603,266.954
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,4,56,chair,0.2972,,0,False,True,False,False,70.243,1.244,351.775,271.77
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,5,56,chair,0.2576,,0,False,True,False,False,552.04,52.14,639.728,247.687
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,6,56,chair,0.2566,,0,False,True,False,False,352.829,27.723,552.267,191.096
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,7,56,chair,0.214,,0,False,True,False,False,44.592,0.939,157.777,49.863
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,8,56,chair,0.1838,,0,False,True,False,False,166.156,0.998,544.703,412.746
bytetrack,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,56,chair,0.3815,13,0,False,True,False,False,0.0,1.593,178.966,259.023
bytetrack,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.4142,27,0,False,True,False,False,0.0,228.407,196.386,414.124
bytetrack,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.304,17,0,False,True,False,False,194.267,173.437,545.201,419.57
bytetrack,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.4647,34,0,False,True,False,False,92.766,1.701,293.831,246.584
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,56,chair,0.8143,,0,False,True,False,False,0.388,1.077,152.247,250.654
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.6588,,0,False,True,False,False,211.016,173.806,544.204,419.578
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.5805,,0,False,True,False,False,0.35,227.757,184.867,412.383
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.3457,,0,False,True,False,False,159.936,1.329,351.603,266.954
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,4,56,chair,0.2972,,0,False,True,False,False,70.243,1.244,351.775,271.77
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,5,56,chair,0.2576,,0,False,True,False,False,552.04,52.14,639.728,247.687
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,6,56,chair,0.2566,,0,False,True,False,False,352.829,27.723,552.267,191.096
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,7,56,chair,0.214,,0,False,True,False,False,44.592,0.939,157.777,49.863
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,8,56,chair,0.1838,,0,False,True,False,False,166.156,0.998,544.703,412.746
bytetrack_persist_3,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,56,chair,0.8143,,0,False,True,False,False,0.388,1.077,152.247,250.654
bytetrack_persist_3,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.6588,,0,False,True,False,False,211.016,173.806,544.204,419.578
bytetrack_persist_3,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.5805,,0,False,True,False,False,0.35,227.757,184.867,412.383
bytetrack_persist_3,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.3457,,0,False,True,False,False,159.936,1.329,351.603,266.954
