method,gt_instance_id,frame_id,gt_index,video,target_frame,metadata_frame,timestamp,quality_group,class_id,class,raw_detected,tracked_detected,raw_confidence,tracked_confidence,track_id,missed_frames_before_target,persisted_at_target,outcome
bytetrack,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_3,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_5,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
botsort,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_1,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_3,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_5,video1/v01_20-16_f00054_t01.82_clear/gt000,video1/v01_20-16_f00054_t01.82_clear,0,video1,49,00054,01.82,clear,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,8,1,True,rescued
bytetrack_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,8,1,True,rescued
bytetrack_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,8,1,True,rescued
bytetrack_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,7,1,True,rescued
botsort_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_1,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,7,1,True,rescued
botsort_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_3,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt000,video1/v01_20-16_f00081_t02.73_clear,0,video1,76,00081,02.73,clear,56,chair,False,True,,0.2263,7,1,True,rescued
botsort_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt001,video1/v01_20-16_f00081_t02.73_clear,1,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
botsort_persist_5,video1/v01_20-16_f00081_t02.73_clear/gt002,video1/v01_20-16_f00081_t02.73_clear,2,video1,76,00081,02.73,clear,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00108_t03.63_moderate_blur/gt000,video1/v01_20-16_f00108_t03.63_moderate_blur,0,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00108_t03.63_moderate_blur/gt001,video1/v01_20-16_f00108_t03.63_moderate_blur,1,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00108_t03.63_moderate_blur/gt002,video1/v01_20-16_f00108_t03.63_moderate_blur,2,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack,video1/v01_20-16_f00108_t03.63_moderate_blur/gt003,video1/v01_20-16_f00108_t03.63_moderate_blur,3,video1,103,00108,03.63,moderate_blur,60,dining table,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00108_t03.63_moderate_blur/gt000,video1/v01_20-16_f00108_t03.63_moderate_blur,0,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00108_t03.63_moderate_blur/gt001,video1/v01_20-16_f00108_t03.63_moderate_blur,1,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00108_t03.63_moderate_blur/gt002,video1/v01_20-16_f00108_t03.63_moderate_blur,2,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed
bytetrack_persist_1,video1/v01_20-16_f00108_t03.63_moderate_blur/gt003,video1/v01_20-16_f00108_t03.63_moderate_blur,3,video1,103,00108,03.63,moderate_blur,60,dining table,False,False,,,,,False,still_missed
