method,quality_group,num_target_frames,num_gt_instances,true_positives,false_positives,false_negatives,precision,recall,f1,map50,map50_95,rescued_vs_raw,lost_vs_raw,both_detected,still_missed,persisted_detections,stale_persisted_false_positives,mean_stale_duration_frames,max_stale_duration_frames
raw,overall,84,344,90,13,254,0.8738,0.2616,0.4027,0.2591,0.2591,0,0,0,0,0,0,0.0,0
raw,clear,28,125,47,7,78,0.8704,0.376,0.5251,0.3761,0.3761,0,0,0,0,0,0,0.0,0
raw,moderate_blur,35,154,37,5,117,0.881,0.2403,0.3776,0.2657,0.2657,0,0,0,0,0,0,0.0,0
raw,severe_blur,21,65,6,1,59,0.8571,0.0923,0.1667,0.1271,0.1271,0,0,0,0,0,0,0.0,0
bytetrack,overall,84,344,54,5,290,0.9153,0.157,0.268,0.1885,0.1723,4,40,50,250,0,0,0.0,0
bytetrack,clear,28,125,28,3,97,0.9032,0.224,0.359,0.2223,0.2001,0,19,28,78,0,0,0.0,0
bytetrack,moderate_blur,35,154,23,2,131,0.92,0.1494,0.257,0.2156,0.203,3,17,20,114,0,0,0.0,0
bytetrack,severe_blur,21,65,3,0,62,1.0,0.0462,0.0882,0.0353,0.0165,1,4,2,58,0,0,0.0,0
bytetrack_persist_1,overall,84,344,95,14,249,0.8716,0.2762,0.4194,0.2698,0.2634,5,0,90,249,6,1,1.0,1
bytetrack_persist_1,clear,28,125,50,8,75,0.8621,0.4,0.5464,0.4004,0.39,3,0,47,75,4,1,1.0,1
bytetrack_persist_1,moderate_blur,35,154,38,5,116,0.8837,0.2468,0.3858,0.2671,0.2656,1,0,37,116,1,0,0.0,0
bytetrack_persist_1,severe_blur,21,65,7,1,58,0.875,0.1077,0.1918,0.1388,0.1294,1,0,6,58,1,0,0.0,0
bytetrack_persist_3,overall,84,344,97,22,247,0.8151,0.282,0.419,0.2581,0.2508,7,0,90,247,16,9,2.333,3
bytetrack_persist_3,clear,28,125,50,11,75,0.8197,0.4,0.5376,0.3905,0.38,3,0,47,75,7,4,2.25,3
bytetrack_persist_3,moderate_blur,35,154,40,10,114,0.8,0.2597,0.3922,0.2517,0.2487,3,0,37,114,8,5,2.4,3
bytetrack_persist_3,severe_blur,21,65,7,1,58,0.875,0.1077,0.1918,0.1388,0.1294,1,0,6,58,1,0,0.0,0
bytetrack_persist_5,overall,84,344,97,26,247,0.7886,0.282,0.4154,0.2551,0.2479,7,0,90,247,20,13,3.154,5
bytetrack_persist_5,clear,28,125,50,11,75,0.8197,0.4,0.5376,0.3905,0.38,3,0,47,75,7,4,2.25,3
bytetrack_persist_5,moderate_blur,35,154,40,13,114,0.7547,0.2597,0.3865,0.2514,0.2484,3,0,37,114,11,8,3.375,5
bytetrack_persist_5,severe_blur,21,65,7,2,58,0.7778,0.1077,0.1892,0.1349,0.1267,1,0,6,58,2,1,5.0,5
botsort,overall,84,344,57,7,287,0.8906,0.1657,0.2794,0.1883,0.1814,3,36,54,251,0,0,0.0,0
botsort,clear,28,125,29,5,96,0.8529,0.232,0.3648,0.259,0.2467,0,18,29,78,0,0,0.0,0
botsort,moderate_blur,35,154,24,2,130,0.9231,0.1558,0.2667,0.2207,0.2182,2,15,22,115,0,0,0.0,0
botsort,severe_blur,21,65,4,0,61,1.0,0.0615,0.1159,0.0471,0.0431,1,3,3,58,0,0,0.0,0
botsort_persist_1,overall,84,344,95,14,249,0.8716,0.2762,0.4194,0.2637,0.2591,5,0,90,249,6,1,1.0,1
botsort_persist_1,clear,28,125,50,8,75,0.8621,0.4,0.5464,0.3818,0.3761,3,0,47,75,4,1,1.0,1
botsort_persist_1,moderate_blur,35,154,38,5,116,0.8837,0.2468,0.3858,0.2671,0.2658,1,0,37,116,1,0,0.0,0
botsort_persist_1,severe_blur,21,65,7,1,58,0.875,0.1077,0.1918,0.1388,0.1282,1,0,6,58,1,0,0.0,0
botsort_persist_3,overall,84,344,96,16,248,0.8571,0.2791,0.4211,0.2647,0.2579,6,0,90,248,9,3,2.0,3
botsort_persist_3,clear,28,125,50,9,75,0.8475,0.4,0.5435,0.3806,0.3749,3,0,47,75,5,2,2.0,3
botsort_persist_3,moderate_blur,35,154,39,6,115,0.8667,0.2532,0.392,0.27,0.2633,2,0,37,115,3,1,2.0,2
botsort_persist_3,severe_blur,21,65,7,1,58,0.875,0.1077,0.1918,0.1388,0.1282,1,0,6,58,1,0,0.0,0
botsort_persist_5,overall,84,344,96,21,248,0.8205,0.2791,0.4165,0.2613,0.2546,6,0,90,248,14,8,3.75,5
botsort_persist_5,clear,28,125,50,10,75,0.8333,0.4,0.5405,0.3804,0.3747,3,0,47,75,6,3,2.667,4
botsort_persist_5,moderate_blur,35,154,39,9,115,0.8125,0.2532,0.3861,0.2697,0.2629,2,0,37,115,6,4,4.25,5
botsort_persist_5,severe_blur,21,65,7,2,58,0.7778,0.1077,0.1892,0.1349,0.1257,1,0,6,58,2,1,5.0,5
