model,confidence_threshold,neighbor_offset,frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
yolov8n.pt,0.15,1,video1/v01_20-16_f00054_t01.82_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00081_t02.73_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00081_t02.73_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00081_t02.73_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00108_t03.63_moderate_blur,moderate_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,5,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,6,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00162_t05.45_moderate_blur,moderate_blur,7,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,0,56,chair,True,0.4314,True,0.3787,False,,True,0.2983,False,,True,0.446,False,,False,,True,4,raw|gaussian|wiener_denoise|clahe,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,1,56,chair,False,,True,0.183,False,,False,,False,,False,,False,,False,,True,1,gaussian,gaussian
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,2,56,chair,True,0.5291,True,0.5642,True,0.5555,True,0.5542,False,,True,0.3872,True,0.4496,True,0.2805,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,3,56,chair,True,0.3639,True,0.4272,True,0.3574,True,0.3928,False,,False,,True,0.1531,False,,True,5,raw|gaussian|bilateral|wiener_denoise|temporal_fixed,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,4,56,chair,False,,True,0.2022,False,,False,,False,,False,,False,,False,,True,1,gaussian,gaussian
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,6,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,7,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,8,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,9,56,chair,False,,False,,False,,False,,False,,False,,False,,True,0.4994,True,1,temporal_quality_weighted,temporal_quality_weighted
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,10,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,11,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,12,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,13,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,14,56,chair,True,0.3626,True,0.2957,True,0.3705,True,0.3506,False,,True,0.259,True,0.4954,False,,True,6,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,15,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00189_t06.36_clear,clear,16,56,chair,False,,False,,False,,False,,False,,True,0.3433,False,,False,,True,1,clahe,clahe
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,True,0.1537,False,,False,,True,1,clahe,clahe
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00270_t09.09_moderate_blur,moderate_blur,6,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00325_t10.94_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00325_t10.94_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00325_t10.94_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00325_t10.94_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
