model,confidence_threshold,video,filter,n_frames,mean_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms
yolov8n.pt,0.15,video1,bilateral,12,0.5,0.07,8.765,47.534,56.299
yolov8n.pt,0.15,video1,clahe,12,0.917,0.06,9.972,49.393,59.365
yolov8n.pt,0.15,video1,gaussian,12,0.75,0.0666,0.6,47.211,47.812
yolov8n.pt,0.15,video1,raw,12,0.583,0.0741,0.001,133.217,133.219
yolov8n.pt,0.15,video1,wiener_deconv,12,0.083,0.0152,57.07,51.402,108.473
yolov8n.pt,0.15,video1,wiener_denoise,12,0.583,0.0724,41.491,48.784,90.275
yolov8n.pt,0.15,video2,bilateral,12,0.0,0.0,8.735,47.737,56.472
yolov8n.pt,0.15,video2,clahe,12,0.5,0.1106,3.107,51.051,54.158
yolov8n.pt,0.15,video2,gaussian,12,0.083,0.0143,0.52,50.199,50.72
yolov8n.pt,0.15,video2,raw,12,0.083,0.0192,0.001,48.358,48.359
yolov8n.pt,0.15,video2,wiener_deconv,12,0.083,0.0249,55.66,51.326,106.985
yolov8n.pt,0.15,video2,wiener_denoise,12,0.083,0.0174,41.021,48.258,89.28
yolov8n.pt,0.15,video3,bilateral,12,0.25,0.1059,8.849,48.056,56.905
yolov8n.pt,0.15,video3,clahe,12,0.25,0.1206,2.744,47.501,50.245
yolov8n.pt,0.15,video3,gaussian,12,0.25,0.1308,0.528,47.969,48.497
yolov8n.pt,0.15,video3,raw,12,0.333,0.0794,0.001,47.694,47.696
yolov8n.pt,0.15,video3,wiener_deconv,12,0.75,0.2264,56.147,50.392,106.539
yolov8n.pt,0.15,video3,wiener_denoise,12,0.167,0.1115,41.923,49.544,91.467
yolov8n.pt,0.15,video4,bilateral,12,1.167,0.3549,8.904,51.415,60.32
yolov8n.pt,0.15,video4,clahe,12,2.333,0.339,2.856,50.586,53.442
yolov8n.pt,0.15,video4,gaussian,12,1.25,0.3315,0.554,51.195,51.749
yolov8n.pt,0.15,video4,raw,12,1.5,0.3154,0.001,51.066,51.067
yolov8n.pt,0.15,video4,wiener_deconv,12,0.167,0.0441,56.364,49.745,106.108
yolov8n.pt,0.15,video4,wiener_denoise,12,1.25,0.3403,43.984,50.804,94.788
yolov8n.pt,0.15,video5,bilateral,12,0.083,0.0292,9.732,54.234,63.966
yolov8n.pt,0.15,video5,clahe,12,0.083,0.0153,3.141,58.301,61.442
yolov8n.pt,0.15,video5,gaussian,12,0.083,0.0301,0.609,54.298,54.907
yolov8n.pt,0.15,video5,raw,12,0.0,0.0,0.001,59.576,59.577
yolov8n.pt,0.15,video5,wiener_deconv,12,0.083,0.0162,61.388,60.078,121.466
yolov8n.pt,0.15,video5,wiener_denoise,12,0.083,0.0303,45.058,55.095,100.153
yolov8n.pt,0.15,video6,bilateral,12,0.083,0.02,8.888,48.773,57.66
yolov8n.pt,0.15,video6,clahe,12,0.167,0.0587,2.84,49.888,52.727
yolov8n.pt,0.15,video6,gaussian,12,0.167,0.0292,0.529,48.202,48.731
yolov8n.pt,0.15,video6,raw,12,0.0,0.0,0.001,49.679,49.68
yolov8n.pt,0.15,video6,wiener_deconv,12,0.25,0.082,56.369,50.509,106.877
yolov8n.pt,0.15,video6,wiener_denoise,12,0.083,0.0177,41.354,48.323,89.677
yolov8n.pt,0.15,video7,bilateral,12,0.0,0.0,9.329,48.969,58.298
yolov8n.pt,0.15,video7,clahe,12,0.0,0.0,2.978,47.841,50.82
yolov8n.pt,0.15,video7,gaussian,12,0.0,0.0,0.509,48.407,48.916
yolov8n.pt,0.15,video7,raw,12,0.0,0.0,0.001,49.861,49.862
yolov8n.pt,0.15,video7,wiener_deconv,12,0.25,0.076,58.739,51.214,109.953
yolov8n.pt,0.15,video7,wiener_denoise,12,0.0,0.0,41.168,51.5,92.668
