gt_instance_id,video,source_video,target_frame,decoded_target_frame,timestamp,decoded_timestamp,target_alignment_delta_ms,quality_group,class_id,class,gt_x1,gt_y1,gt_x2,gt_y2,raw_detected,raw_confidence,nearest_prev_detection_frame,nearest_prev_detection_offset,nearest_prev_detection_timestamp,nearest_prev_detection_confidence,nearest_next_detection_frame,nearest_next_detection_offset,nearest_next_detection_timestamp,nearest_next_detection_confidence,nearest_unambiguous_detection_distance,recoverable_pm1,recoverable_pm3,recoverable_pm5,ambiguous_pm1,ambiguous_pm3,ambiguous_pm5,notes
video1/v01_20-16_f00054_t01.82_clear/gt000,video1,Movie on 13-08-2026 at 20.16.mov,54,49,1.817,1.833333,16.333,clear,56,chair,5.0,3.0,331.0,409.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00081_t02.73_clear/gt000,video1,Movie on 13-08-2026 at 20.16.mov,81,76,2.726,2.733333,7.333,clear,56,chair,171.0,5.0,496.0,378.0,False,,74,-2,2.666667,0.3069,,,,,2,False,True,True,False,False,False,
video1/v01_20-16_f00081_t02.73_clear/gt001,video1,Movie on 13-08-2026 at 20.16.mov,81,76,2.726,2.733333,7.333,clear,56,chair,125.0,5.0,319.0,199.0,False,,74,-2,2.666667,0.2147,,,,,2,False,True,True,False,True,True,ambiguous_offsets=-2
video1/v01_20-16_f00081_t02.73_clear/gt002,video1,Movie on 13-08-2026 at 20.16.mov,81,76,2.726,2.733333,7.333,clear,56,chair,476.0,5.0,632.0,276.0,False,,,,,,,,,,,False,False,False,False,True,True,ambiguous_offsets=-2|-3|-4|-5;no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00108_t03.63_moderate_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,108,103,3.635,3.633333,-1.667,moderate_blur,56,chair,3.0,12.0,155.0,229.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00108_t03.63_moderate_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,108,103,3.635,3.633333,-1.667,moderate_blur,56,chair,83.0,37.0,292.0,286.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00108_t03.63_moderate_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,108,103,3.635,3.633333,-1.667,moderate_blur,56,chair,513.0,99.0,634.0,397.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00108_t03.63_moderate_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,108,103,3.635,3.633333,-1.667,moderate_blur,60,dining table,5.0,2.0,632.0,245.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,33.0,184.0,449.0,415.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,535.0,68.0,640.0,382.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,532.0,68.0,640.0,273.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,5.0,39.0,441.0,403.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,1.0,104.0,143.0,341.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,60,dining table,237.0,1.0,639.0,75.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,330.0,30.0,528.0,210.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1,Movie on 13-08-2026 at 20.16.mov,162,158,5.452,5.466667,14.667,moderate_blur,56,chair,235.0,21.0,349.0,181.0,False,,,,,,,,,,,False,False,False,False,False,False,no_unambiguous_nearby_detection_pm5
video1/v01_20-16_f00189_t06.36_clear/gt000,video1,Movie on 13-08-2026 at 20.16.mov,189,185,6.361,6.366667,5.667,clear,56,chair,0.388,1.077,152.247,250.654,True,0.4314,184,-1,6.333333,0.36,186,1,6.4,0.2834,1,False,False,False,False,False,False,raw_detected;ambiguous_offsets=-1|+1|-2|+2|-3|-4|+4|-5
