method,quality_group,precision,recall,map50,map50_95,preprocess_ms_mean,preprocess_ms_std,total_latency_ms,estimated_fps,num_frames,model,confidence_threshold,neighbor_offset
raw,overall,0.7667,0.0669,0.0504,0.0467,0.075,0.16,89.667,11.15,81,yolov8n.pt,0.15,1
raw,clear,0.7368,0.112,0.0838,0.0762,0.064,0.113,123.493,8.1,27,yolov8n.pt,0.15,1
raw,moderate_blur,0.8,0.0519,0.0705,0.0685,0.092,0.209,72.103,13.87,35,yolov8n.pt,0.15,1
raw,severe_blur,1.0,0.0154,0.0118,0.0094,0.064,0.105,73.839,13.54,19,yolov8n.pt,0.15,1
wiener_denoise,overall,0.7037,0.0552,0.03,0.0279,48.965,5.165,123.293,8.11,81,yolov8n.pt,0.15,1
wiener_denoise,clear,0.8235,0.112,0.0738,0.0678,50.823,5.193,123.029,8.13,27,yolov8n.pt,0.15,1
wiener_denoise,moderate_blur,0.5,0.0325,0.02,0.0193,48.784,4.796,126.337,7.92,35,yolov8n.pt,0.15,1
wiener_denoise,severe_blur,0.0,0.0,0.0,0.0,46.791,4.801,118.572,8.43,19,yolov8n.pt,0.15,1
wiener_deconv,overall,0.0,0.0,0.0,0.0,73.841,9.24,149.435,6.69,81,yolov8n.pt,0.15,1
wiener_deconv,clear,0.0,0.0,0.0,0.0,72.581,7.111,146.071,6.85,27,yolov8n.pt,0.15,1
wiener_deconv,moderate_blur,0.0,0.0,0.0,0.0,75.092,11.854,152.324,6.56,35,yolov8n.pt,0.15,1
wiener_deconv,severe_blur,0.0,0.0,0.0,0.0,73.435,5.918,149.104,6.71,19,yolov8n.pt,0.15,1
clahe,overall,0.5686,0.0843,0.051,0.0443,4.906,11.575,78.625,12.72,81,yolov8n.pt,0.15,1
clahe,clear,0.6,0.144,0.0994,0.0851,7.231,19.77,78.35,12.76,27,yolov8n.pt,0.15,1
clahe,moderate_blur,0.625,0.0649,0.0755,0.0722,3.559,0.996,77.702,12.87,35,yolov8n.pt,0.15,1
clahe,severe_blur,0.2,0.0154,0.0118,0.0094,4.049,1.487,80.533,12.42,19,yolov8n.pt,0.15,1
temporal_fixed,overall,0.7,0.061,0.0402,0.0361,105.041,17.133,179.929,5.56,81,yolov8n.pt,0.15,1
temporal_fixed,clear,0.7222,0.104,0.077,0.0705,96.157,25.179,167.747,5.96,27,yolov8n.pt,0.15,1
temporal_fixed,moderate_blur,0.7,0.0455,0.0438,0.0424,110.038,7.734,185.791,5.38,35,yolov8n.pt,0.15,1
temporal_fixed,severe_blur,0.5,0.0154,0.0118,0.0035,108.559,8.361,186.401,5.36,19,yolov8n.pt,0.15,1
temporal_quality_weighted,overall,0.6786,0.0552,0.0377,0.0332,109.132,17.734,182.334,5.48,81,yolov8n.pt,0.15,1
temporal_quality_weighted,clear,0.6875,0.088,0.0672,0.0599,99.834,25.757,170.433,5.87,27,yolov8n.pt,0.15,1
temporal_quality_weighted,moderate_blur,0.7273,0.0519,0.0487,0.0434,114.112,8.831,189.637,5.27,35,yolov8n.pt,0.15,1
temporal_quality_weighted,severe_blur,0.0,0.0,0.0,0.0,113.229,8.369,186.029,5.38,19,yolov8n.pt,0.15,1
