method,quality_group,window_frames,raw_recall,past_only_oracle_recall,actual_tracker_recall,available_oracle_headroom,actual_recall_gain,fraction_of_oracle_headroom_recovered,model,confidence_threshold
bytetrack_persist_1,overall,1,0.0669,0.0814,0.0698,0.0145,0.0029,0.2,yolov8n.pt,0.15
bytetrack_persist_1,clear,1,0.112,0.128,0.12,0.016,0.008,0.5,yolov8n.pt,0.15
bytetrack_persist_1,moderate_blur,1,0.0519,0.0714,0.0519,0.0195,0.0,0.0,yolov8n.pt,0.15
bytetrack_persist_1,severe_blur,1,0.0154,0.0154,0.0154,0.0,0.0,,yolov8n.pt,0.15
bytetrack_persist_3,overall,3,0.0669,0.1017,0.0727,0.0348,0.0058,0.1667,yolov8n.pt,0.15
bytetrack_persist_3,clear,3,0.112,0.168,0.128,0.056,0.016,0.2857,yolov8n.pt,0.15
bytetrack_persist_3,moderate_blur,3,0.0519,0.0779,0.0519,0.026,0.0,0.0,yolov8n.pt,0.15
bytetrack_persist_3,severe_blur,3,0.0154,0.0308,0.0154,0.0154,0.0,0.0,yolov8n.pt,0.15
bytetrack_persist_5,overall,5,0.0669,0.1134,0.0727,0.0465,0.0058,0.1247,yolov8n.pt,0.15
bytetrack_persist_5,clear,5,0.112,0.184,0.128,0.072,0.016,0.2222,yolov8n.pt,0.15
bytetrack_persist_5,moderate_blur,5,0.0519,0.0909,0.0519,0.039,0.0,0.0,yolov8n.pt,0.15
bytetrack_persist_5,severe_blur,5,0.0154,0.0308,0.0154,0.0154,0.0,0.0,yolov8n.pt,0.15
botsort_persist_1,overall,1,0.0669,0.0814,0.0698,0.0145,0.0029,0.2,yolov8n.pt,0.15
botsort_persist_1,clear,1,0.112,0.128,0.12,0.016,0.008,0.5,yolov8n.pt,0.15
botsort_persist_1,moderate_blur,1,0.0519,0.0714,0.0519,0.0195,0.0,0.0,yolov8n.pt,0.15
botsort_persist_1,severe_blur,1,0.0154,0.0154,0.0154,0.0,0.0,,yolov8n.pt,0.15
botsort_persist_3,overall,3,0.0669,0.1017,0.0727,0.0348,0.0058,0.1667,yolov8n.pt,0.15
botsort_persist_3,clear,3,0.112,0.168,0.128,0.056,0.016,0.2857,yolov8n.pt,0.15
botsort_persist_3,moderate_blur,3,0.0519,0.0779,0.0519,0.026,0.0,0.0,yolov8n.pt,0.15
botsort_persist_3,severe_blur,3,0.0154,0.0308,0.0154,0.0154,0.0,0.0,yolov8n.pt,0.15
botsort_persist_5,overall,5,0.0669,0.1134,0.0727,0.0465,0.0058,0.1247,yolov8n.pt,0.15
botsort_persist_5,clear,5,0.112,0.184,0.128,0.072,0.016,0.2222,yolov8n.pt,0.15
botsort_persist_5,moderate_blur,5,0.0519,0.0909,0.0519,0.039,0.0,0.0,yolov8n.pt,0.15
botsort_persist_5,severe_blur,5,0.0154,0.0308,0.0154,0.0154,0.0,0.0,yolov8n.pt,0.15
