method,dimension,value,n_gt_instances,rescued,lost,both_detected,still_missed,model,confidence_threshold
botsort,severity,clear,125,0,4,10,111,yolov8n.pt,0.15
botsort,severity,moderate_blur,154,0,4,4,146,yolov8n.pt,0.15
botsort,severity,severe_blur,65,0,1,0,64,yolov8n.pt,0.15
botsort,class,backpack,21,0,0,0,21,yolov8n.pt,0.15
botsort,class,bottle,10,0,1,0,9,yolov8n.pt,0.15
botsort,class,chair,208,0,4,4,200,yolov8n.pt,0.15
botsort,class,couch,6,0,0,0,6,yolov8n.pt,0.15
botsort,class,dining table,34,0,0,0,34,yolov8n.pt,0.15
botsort,class,dog,1,0,0,0,1,yolov8n.pt,0.15
botsort,class,person,64,0,4,10,50,yolov8n.pt,0.15
botsort,video,video1,71,0,2,3,66,yolov8n.pt,0.15
botsort,video,video2,49,0,1,0,48,yolov8n.pt,0.15
botsort,video,video3,64,0,2,2,60,yolov8n.pt,0.15
botsort,video,video4,76,0,4,9,63,yolov8n.pt,0.15
botsort,video,video5,15,0,0,0,15,yolov8n.pt,0.15
botsort,video,video6,34,0,0,0,34,yolov8n.pt,0.15
botsort,video,video7,35,0,0,0,35,yolov8n.pt,0.15
botsort_persist_1,severity,clear,125,1,0,14,110,yolov8n.pt,0.15
botsort_persist_1,severity,moderate_blur,154,0,0,8,146,yolov8n.pt,0.15
botsort_persist_1,severity,severe_blur,65,0,0,1,64,yolov8n.pt,0.15
botsort_persist_1,class,backpack,21,0,0,0,21,yolov8n.pt,0.15
botsort_persist_1,class,bottle,10,0,0,1,9,yolov8n.pt,0.15
botsort_persist_1,class,chair,208,1,0,8,199,yolov8n.pt,0.15
botsort_persist_1,class,couch,6,0,0,0,6,yolov8n.pt,0.15
botsort_persist_1,class,dining table,34,0,0,0,34,yolov8n.pt,0.15
botsort_persist_1,class,dog,1,0,0,0,1,yolov8n.pt,0.15
botsort_persist_1,class,person,64,0,0,14,50,yolov8n.pt,0.15
botsort_persist_1,video,video1,71,1,0,5,65,yolov8n.pt,0.15
botsort_persist_1,video,video2,49,0,0,1,48,yolov8n.pt,0.15
botsort_persist_1,video,video3,64,0,0,4,60,yolov8n.pt,0.15
botsort_persist_1,video,video4,76,0,0,13,63,yolov8n.pt,0.15
botsort_persist_1,video,video5,15,0,0,0,15,yolov8n.pt,0.15
botsort_persist_1,video,video6,34,0,0,0,34,yolov8n.pt,0.15
botsort_persist_1,video,video7,35,0,0,0,35,yolov8n.pt,0.15
