method,quality_group,num_target_frames,num_gt_instances,true_positives,false_positives,false_negatives,precision,recall,f1,map50,map50_95,rescued_vs_raw,lost_vs_raw,both_detected,still_missed,persisted_detections,stale_persisted_false_positives,mean_stale_duration_frames,max_stale_duration_frames,model,confidence_threshold
raw,overall,84,344,23,7,321,0.7667,0.0669,0.123,0.0504,0.0467,0,0,0,0,0,0,0.0,0,yolov8n.pt,0.15
raw,clear,28,125,14,5,111,0.7368,0.112,0.1944,0.0838,0.0762,0,0,0,0,0,0,0.0,0,yolov8n.pt,0.15
raw,moderate_blur,35,154,8,2,146,0.8,0.0519,0.0976,0.0705,0.0685,0,0,0,0,0,0,0.0,0,yolov8n.pt,0.15
raw,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,0,0,0,0,0.0,0,yolov8n.pt,0.15
bytetrack,overall,84,344,13,0,331,1.0,0.0378,0.0728,0.0244,0.0201,0,10,13,321,0,0,0.0,0,yolov8n.pt,0.15
bytetrack,clear,28,125,9,0,116,1.0,0.072,0.1343,0.0628,0.0509,0,5,9,111,0,0,0.0,0,yolov8n.pt,0.15
bytetrack,moderate_blur,35,154,4,0,150,1.0,0.026,0.0506,0.0143,0.0129,0,4,4,146,0,0,0.0,0,yolov8n.pt,0.15
bytetrack,severe_blur,21,65,0,0,65,0.0,0.0,0.0,0.0,0.0,0,1,0,64,0,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_1,overall,84,344,24,7,320,0.7742,0.0698,0.128,0.0511,0.0469,1,0,23,320,1,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_1,clear,28,125,15,5,110,0.75,0.12,0.2069,0.086,0.077,1,0,14,110,1,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_1,moderate_blur,35,154,8,2,146,0.8,0.0519,0.0976,0.0705,0.0685,0,0,8,146,0,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_1,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_3,overall,84,344,25,8,319,0.7576,0.0727,0.1326,0.0514,0.047,2,0,23,319,3,1,2.0,2,yolov8n.pt,0.15
bytetrack_persist_3,clear,28,125,16,5,109,0.7619,0.128,0.2192,0.0882,0.0783,2,0,14,109,2,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_3,moderate_blur,35,154,8,3,146,0.7273,0.0519,0.097,0.0705,0.0685,0,0,8,146,1,1,2.0,2,yolov8n.pt,0.15
bytetrack_persist_3,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_5,overall,84,344,25,9,319,0.7353,0.0727,0.1323,0.0514,0.047,2,0,23,319,4,2,3.0,4,yolov8n.pt,0.15
bytetrack_persist_5,clear,28,125,16,5,109,0.7619,0.128,0.2192,0.0882,0.0783,2,0,14,109,2,0,0.0,0,yolov8n.pt,0.15
bytetrack_persist_5,moderate_blur,35,154,8,4,146,0.6667,0.0519,0.0964,0.0705,0.0685,0,0,8,146,2,2,3.0,4,yolov8n.pt,0.15
bytetrack_persist_5,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
botsort,overall,84,344,14,0,330,1.0,0.0407,0.0782,0.0251,0.0233,0,9,14,321,0,0,0.0,0,yolov8n.pt,0.15
botsort,clear,28,125,10,0,115,1.0,0.08,0.1481,0.065,0.0609,0,4,10,111,0,0,0.0,0,yolov8n.pt,0.15
botsort,moderate_blur,35,154,4,0,150,1.0,0.026,0.0506,0.0143,0.0131,0,4,4,146,0,0,0.0,0,yolov8n.pt,0.15
botsort,severe_blur,21,65,0,0,65,0.0,0.0,0.0,0.0,0.0,0,1,0,64,0,0,0.0,0,yolov8n.pt,0.15
botsort_persist_1,overall,84,344,24,7,320,0.7742,0.0698,0.128,0.0511,0.0471,1,0,23,320,1,0,0.0,0,yolov8n.pt,0.15
botsort_persist_1,clear,28,125,15,5,110,0.75,0.12,0.2069,0.086,0.0778,1,0,14,110,1,0,0.0,0,yolov8n.pt,0.15
botsort_persist_1,moderate_blur,35,154,8,2,146,0.8,0.0519,0.0976,0.0705,0.0685,0,0,8,146,0,0,0.0,0,yolov8n.pt,0.15
botsort_persist_1,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
botsort_persist_3,overall,84,344,25,7,319,0.7812,0.0727,0.133,0.0518,0.0477,2,0,23,319,2,0,0.0,0,yolov8n.pt,0.15
botsort_persist_3,clear,28,125,16,5,109,0.7619,0.128,0.2192,0.0882,0.0795,2,0,14,109,2,0,0.0,0,yolov8n.pt,0.15
botsort_persist_3,moderate_blur,35,154,8,2,146,0.8,0.0519,0.0976,0.0705,0.0685,0,0,8,146,0,0,0.0,0,yolov8n.pt,0.15
botsort_persist_3,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
botsort_persist_5,overall,84,344,25,8,319,0.7576,0.0727,0.1326,0.0518,0.0477,2,0,23,319,3,1,4.0,4,yolov8n.pt,0.15
botsort_persist_5,clear,28,125,16,5,109,0.7619,0.128,0.2192,0.0882,0.0795,2,0,14,109,2,0,0.0,0,yolov8n.pt,0.15
botsort_persist_5,moderate_blur,35,154,8,3,146,0.7273,0.0519,0.097,0.0705,0.0685,0,0,8,146,1,1,4.0,4,yolov8n.pt,0.15
botsort_persist_5,severe_blur,21,65,1,0,64,1.0,0.0154,0.0303,0.0118,0.0094,0,0,1,64,0,0,0.0,0,yolov8n.pt,0.15
