quality_group,filter,n_frames,precision,recall,map50
clear,bilateral,27,0.8043,0.296,0.2102
clear,clahe,27,0.7547,0.32,0.3473
clear,gaussian,27,0.7636,0.336,0.2696
clear,raw,27,0.8704,0.376,0.3761
clear,wiener_deconv,27,0.0,0.0,0.0
clear,wiener_denoise,27,0.8491,0.36,0.3297
moderate_blur,bilateral,35,0.8846,0.1494,0.2022
moderate_blur,clahe,35,0.6923,0.1753,0.0881
moderate_blur,gaussian,35,0.8571,0.1948,0.2206
moderate_blur,raw,35,0.881,0.2403,0.2657
moderate_blur,wiener_deconv,35,0.0,0.0,0.0
moderate_blur,wiener_denoise,35,0.9355,0.1883,0.2231
severe_blur,bilateral,19,0.8,0.0615,0.0471
severe_blur,clahe,19,0.5556,0.0769,0.0871
severe_blur,gaussian,19,1.0,0.0769,0.0588
severe_blur,raw,19,0.8571,0.0923,0.1271
severe_blur,wiener_deconv,19,0.0,0.0,0.0
severe_blur,wiener_denoise,19,0.8333,0.0769,0.0588
