video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
video1,v01_20-16_f00054_t01.82_clear.png,raw,0,0.0,0.002,3265.634,3265.636,True
video1,v01_20-16_f00054_t01.82_clear.png,gaussian,0,0.0,13.33,34.832,48.162,True
video1,v01_20-16_f00054_t01.82_clear.png,bilateral,0,0.0,13.484,26.218,39.702,True
video1,v01_20-16_f00054_t01.82_clear.png,wiener_denoise,0,0.0,71.057,32.443,103.5,True
video1,v01_20-16_f00054_t01.82_clear.png,wiener_deconv,0,0.0,71.693,24.961,96.654,True
video1,v01_20-16_f00054_t01.82_clear.png,clahe,0,0.0,110.962,29.001,139.963,True
video1,v01_20-16_f00081_t02.73_clear.png,raw,0,0.0,0.062,21.579,21.641,True
video1,v01_20-16_f00081_t02.73_clear.png,gaussian,0,0.0,0.688,14.924,15.612,True
video1,v01_20-16_f00081_t02.73_clear.png,bilateral,0,0.0,9.607,14.2,23.807,True
video1,v01_20-16_f00081_t02.73_clear.png,wiener_denoise,0,0.0,44.269,24.463,68.732,True
video1,v01_20-16_f00081_t02.73_clear.png,wiener_deconv,0,0.0,61.475,24.556,86.031,True
video1,v01_20-16_f00081_t02.73_clear.png,clahe,0,0.0,3.323,14.021,17.343,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,raw,0,0.0,0.0,24.795,24.795,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,gaussian,0,0.0,0.513,15.921,16.434,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,bilateral,0,0.0,9.618,15.489,25.107,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,wiener_denoise,0,0.0,41.106,24.199,65.305,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,wiener_deconv,0,0.0,63.538,26.321,89.859,True
video1,v01_20-16_f00108_t03.63_moderate_blur.png,clahe,0,0.0,3.101,16.441,19.542,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,raw,1,0.2313,0.0,26.038,26.039,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,gaussian,1,0.2289,0.682,23.971,24.653,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,bilateral,0,0.0,9.554,14.451,24.005,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,wiener_denoise,0,0.0,45.236,17.249,62.485,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,wiener_deconv,1,0.3375,58.305,24.718,83.023,True
video1,v01_20-16_f00162_t05.45_moderate_blur.png,clahe,2,0.2132,4.067,25.21,29.277,True
video1,v01_20-16_f00189_t06.36_clear.png,raw,9,0.401,0.001,28.765,28.765,True
video1,v01_20-16_f00189_t06.36_clear.png,gaussian,8,0.502,0.716,26.815,27.531,True
video1,v01_20-16_f00189_t06.36_clear.png,bilateral,7,0.5349,9.79,25.54,35.329,True
video1,v01_20-16_f00189_t06.36_clear.png,wiener_denoise,7,0.5268,41.648,29.144,70.792,True
video1,v01_20-16_f00189_t06.36_clear.png,wiener_deconv,0,0.0,61.938,35.75,97.688,True
video1,v01_20-16_f00189_t06.36_clear.png,clahe,10,0.3614,3.059,23.924,26.983,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,raw,4,0.4421,0.0,35.805,35.805,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,gaussian,3,0.4609,0.644,25.003,25.647,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,bilateral,3,0.311,11.53,25.279,36.808,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,wiener_denoise,3,0.4393,40.295,28.701,68.996,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,wiener_deconv,0,0.0,64.306,24.984,89.29,True
video1,v01_20-16_f00270_t09.09_moderate_blur.png,clahe,3,0.3015,5.165,21.746,26.911,True
video1,v01_20-16_f00325_t10.94_clear.png,raw,2,0.2451,0.0,47.38,47.38,True
video1,v01_20-16_f00325_t10.94_clear.png,gaussian,2,0.3258,0.725,18.121,18.846,True
video1,v01_20-16_f00325_t10.94_clear.png,bilateral,0,0.0,12.022,16.874,28.896,True
video1,v01_20-16_f00325_t10.94_clear.png,wiener_denoise,2,0.2221,50.039,29.218,79.257,True
video1,v01_20-16_f00325_t10.94_clear.png,wiener_deconv,0,0.0,81.235,27.295,108.53,True
video1,v01_20-16_f00325_t10.94_clear.png,clahe,0,0.0,3.252,18.831,22.083,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,raw,5,0.4348,0.002,52.857,52.859,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,gaussian,5,0.4608,0.868,28.161,29.029,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,bilateral,4,0.375,11.581,34.137,45.718,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,wiener_denoise,4,0.4133,52.568,25.97,78.538,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,wiener_deconv,0,0.0,62.658,27.823,90.48,True
video1,v01_20-16_f00352_t11.85_moderate_blur.png,clahe,9,0.1986,3.457,27.512,30.969,True
video1,v01_20-16_f00379_t12.75_severe_blur.png,raw,0,0.0,0.001,37.975,37.977,True
video1,v01_20-16_f00379_t12.75_severe_blur.png,gaussian,0,0.0,1.065,22.39,23.456,True
video1,v01_20-16_f00379_t12.75_severe_blur.png,bilateral,0,0.0,13.453,30.23,43.684,True
video1,v01_20-16_f00379_t12.75_severe_blur.png,wiener_denoise,0,0.0,53.811,27.54,81.35,True
