frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
video1/v01_20-16_f00054_t01.82_clear,video1,clear,temporal_fixed,56,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00054_t01.82_clear,video1,clear,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00081_t02.73_clear,video1,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00081_t02.73_clear,video1,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_fixed,56,7,True,1,0.2313,False,0,,lost
video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,7,True,1,0.2313,False,0,,lost
video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_fixed,56,16,True,9,0.8143,True,7,0.643,lost
video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_quality_weighted,56,16,True,9,0.8143,True,7,0.5006,lost
video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00270_t09.09_moderate_blur,video1,moderate_blur,temporal_fixed,56,7,True,4,0.6182,False,0,,lost
video1/v01_20-16_f00270_t09.09_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,7,True,4,0.6182,False,0,,lost
video1/v01_20-16_f00325_t10.94_clear,video1,clear,temporal_fixed,56,4,True,1,0.324,False,0,,lost
video1/v01_20-16_f00325_t10.94_clear,video1,clear,temporal_quality_weighted,56,4,True,1,0.324,False,0,,lost
video1/v01_20-16_f00352_t11.85_moderate_blur,video1,moderate_blur,temporal_fixed,56,10,True,5,0.7644,True,4,0.3365,lost
video1/v01_20-16_f00352_t11.85_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,10,True,5,0.7644,True,2,0.1892,lost
video1/v01_20-16_f00379_t12.75_severe_blur,video1,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00379_t12.75_severe_blur,video1,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_fixed,56,4,False,0,,False,0,,still_missed
video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_fixed,56,5,True,2,0.2438,False,0,,lost
video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,5,True,2,0.2438,False,0,,lost
video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00113_t03.77_clear,video2,clear,temporal_fixed,56,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00113_t03.77_clear,video2,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00113_t03.77_clear,video2,clear,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00113_t03.77_clear,video2,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00151_t05.03_moderate_blur,video2,moderate_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
video2/v02_20-18_f00151_t05.03_moderate_blur,video2,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00151_t05.03_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
video2/v02_20-18_f00151_t05.03_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00189_t06.30_severe_blur,video2,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00189_t06.30_severe_blur,video2,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00264_t08.80_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_fixed,56,4,True,1,0.4917,True,1,0.5676,confidence_improved
video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_quality_weighted,56,4,True,1,0.4917,True,1,0.5531,confidence_improved
video2/v02_20-18_f00340_t11.33_clear,video2,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
video2/v02_20-18_f00453_t15.10_severe_blur,video2,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_fixed,56,5,False,0,,False,0,,still_missed
video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_fixed,60,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,5,False,0,,False,0,,still_missed
video2/v02_20-18_f00567_t18.90_moderate_blur,video2,moderate_blur,temporal_quality_weighted,60,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_fixed,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_fixed,60,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_quality_weighted,56,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00680_t22.67_severe_blur,video2,severe_blur,temporal_quality_weighted,60,2,False,0,,False,0,,still_missed
video2/v02_20-18_f00718_t23.93_clear,video2,clear,temporal_fixed,56,2,True,1,0.6877,True,1,0.2575,confidence_degraded
video2/v02_20-18_f00718_t23.93_clear,video2,clear,temporal_quality_weighted,56,2,True,1,0.6877,False,0,,lost
video2/v02_20-18_f00794_t26.47_moderate_blur,video2,moderate_blur,temporal_fixed,56,4,True,1,0.3634,True,1,0.1544,confidence_degraded
