method,quality_group,window_frames,raw_recall,past_only_oracle_recall,actual_tracker_recall,available_oracle_headroom,actual_recall_gain,fraction_of_oracle_headroom_recovered
bytetrack_persist_1,overall,1,0.2616,0.3227,0.2762,0.0611,0.0146,0.239
bytetrack_persist_1,clear,1,0.376,0.44,0.4,0.064,0.024,0.375
bytetrack_persist_1,moderate_blur,1,0.2403,0.3117,0.2468,0.0714,0.0065,0.091
bytetrack_persist_1,severe_blur,1,0.0923,0.1231,0.1077,0.0308,0.0154,0.5
bytetrack_persist_3,overall,3,0.2616,0.3895,0.282,0.1279,0.0204,0.1595
bytetrack_persist_3,clear,3,0.376,0.504,0.4,0.128,0.024,0.1875
bytetrack_persist_3,moderate_blur,3,0.2403,0.4026,0.2597,0.1623,0.0194,0.1195
bytetrack_persist_3,severe_blur,3,0.0923,0.1385,0.1077,0.0462,0.0154,0.3333
bytetrack_persist_5,overall,5,0.2616,0.4186,0.282,0.157,0.0204,0.1299
bytetrack_persist_5,clear,5,0.376,0.528,0.4,0.152,0.024,0.1579
bytetrack_persist_5,moderate_blur,5,0.2403,0.4416,0.2597,0.2013,0.0194,0.0964
bytetrack_persist_5,severe_blur,5,0.0923,0.1538,0.1077,0.0615,0.0154,0.2504
botsort_persist_1,overall,1,0.2616,0.3227,0.2762,0.0611,0.0146,0.239
botsort_persist_1,clear,1,0.376,0.44,0.4,0.064,0.024,0.375
botsort_persist_1,moderate_blur,1,0.2403,0.3117,0.2468,0.0714,0.0065,0.091
botsort_persist_1,severe_blur,1,0.0923,0.1231,0.1077,0.0308,0.0154,0.5
botsort_persist_3,overall,3,0.2616,0.3895,0.2791,0.1279,0.0175,0.1368
botsort_persist_3,clear,3,0.376,0.504,0.4,0.128,0.024,0.1875
botsort_persist_3,moderate_blur,3,0.2403,0.4026,0.2532,0.1623,0.0129,0.0795
botsort_persist_3,severe_blur,3,0.0923,0.1385,0.1077,0.0462,0.0154,0.3333
botsort_persist_5,overall,5,0.2616,0.4186,0.2791,0.157,0.0175,0.1115
botsort_persist_5,clear,5,0.376,0.528,0.4,0.152,0.024,0.1579
botsort_persist_5,moderate_blur,5,0.2403,0.4416,0.2532,0.2013,0.0129,0.0641
botsort_persist_5,severe_blur,5,0.0923,0.1538,0.1077,0.0615,0.0154,0.2504
