method,dimension,value,n_gt_instances,rescued,lost,both_detected,still_missed
botsort,severity,clear,125,0,18,29,78
botsort,severity,moderate_blur,154,2,15,22,115
botsort,severity,severe_blur,65,1,3,3,58
botsort,class,backpack,21,0,6,4,11
botsort,class,bottle,10,0,0,4,6
botsort,class,chair,208,2,23,25,158
botsort,class,couch,6,0,0,0,6
botsort,class,dining table,34,0,0,0,34
botsort,class,dog,1,0,0,1,0
botsort,class,person,64,1,7,20,36
botsort,video,video1,71,0,11,9,51
botsort,video,video2,49,2,3,2,42
botsort,video,video3,64,0,6,8,50
botsort,video,video4,76,0,10,25,41
botsort,video,video5,15,0,0,3,12
botsort,video,video6,34,1,5,7,21
botsort,video,video7,35,0,1,0,34
botsort_persist_1,severity,clear,125,3,0,47,75
botsort_persist_1,severity,moderate_blur,154,1,0,37,116
botsort_persist_1,severity,severe_blur,65,1,0,6,58
botsort_persist_1,class,backpack,21,0,0,10,11
botsort_persist_1,class,bottle,10,0,0,4,6
botsort_persist_1,class,chair,208,4,0,48,156
botsort_persist_1,class,couch,6,0,0,0,6
botsort_persist_1,class,dining table,34,0,0,0,34
botsort_persist_1,class,dog,1,0,0,1,0
botsort_persist_1,class,person,64,1,0,27,36
botsort_persist_1,video,video1,71,3,0,20,48
botsort_persist_1,video,video2,49,1,0,5,43
botsort_persist_1,video,video3,64,1,0,14,49
botsort_persist_1,video,video4,76,0,0,35,41
botsort_persist_1,video,video5,15,0,0,3,12
botsort_persist_1,video,video6,34,0,0,12,22
botsort_persist_1,video,video7,35,0,0,1,34
botsort_persist_3,severity,clear,125,3,0,47,75
botsort_persist_3,severity,moderate_blur,154,2,0,37,115
botsort_persist_3,severity,severe_blur,65,1,0,6,58
botsort_persist_3,class,backpack,21,0,0,10,11
botsort_persist_3,class,bottle,10,0,0,4,6
botsort_persist_3,class,chair,208,4,0,48,156
botsort_persist_3,class,couch,6,0,0,0,6
botsort_persist_3,class,dining table,34,0,0,0,34
botsort_persist_3,class,dog,1,0,0,1,0
botsort_persist_3,class,person,64,2,0,27,35
botsort_persist_3,video,video1,71,3,0,20,48
botsort_persist_3,video,video2,49,1,0,5,43
botsort_persist_3,video,video3,64,1,0,14,49
botsort_persist_3,video,video4,76,0,0,35,41
botsort_persist_3,video,video5,15,0,0,3,12
botsort_persist_3,video,video6,34,1,0,12,21
botsort_persist_3,video,video7,35,0,0,1,34
botsort_persist_5,severity,clear,125,3,0,47,75
botsort_persist_5,severity,moderate_blur,154,2,0,37,115
botsort_persist_5,severity,severe_blur,65,1,0,6,58
botsort_persist_5,class,backpack,21,0,0,10,11
botsort_persist_5,class,bottle,10,0,0,4,6
botsort_persist_5,class,chair,208,4,0,48,156
botsort_persist_5,class,couch,6,0,0,0,6
botsort_persist_5,class,dining table,34,0,0,0,34
botsort_persist_5,class,dog,1,0,0,1,0
botsort_persist_5,class,person,64,2,0,27,35
botsort_persist_5,video,video1,71,3,0,20,48
botsort_persist_5,video,video2,49,1,0,5,43
botsort_persist_5,video,video3,64,1,0,14,49
botsort_persist_5,video,video4,76,0,0,35,41
botsort_persist_5,video,video5,15,0,0,3,12
botsort_persist_5,video,video6,34,1,0,12,21
botsort_persist_5,video,video7,35,0,0,1,34
bytetrack,severity,clear,125,0,19,28,78
bytetrack,severity,moderate_blur,154,3,17,20,114
bytetrack,severity,severe_blur,65,1,4,2,58
bytetrack,class,backpack,21,0,6,4,11
bytetrack,class,bottle,10,0,2,2,6
bytetrack,class,chair,208,3,23,25,157
bytetrack,class,couch,6,0,0,0,6
bytetrack,class,dining table,34,0,0,0,34
bytetrack,class,dog,1,0,0,1,0
bytetrack,class,person,64,1,9,18,36
bytetrack,video,video1,71,0,11,9,51
bytetrack,video,video2,49,2,3,2,42
bytetrack,video,video3,64,0,7,7,50
bytetrack,video,video4,76,0,12,23,41
bytetrack,video,video5,15,0,0,3,12
bytetrack,video,video6,34,2,6,6,20
bytetrack,video,video7,35,0,1,0,34
bytetrack_persist_1,severity,clear,125,3,0,47,75
bytetrack_persist_1,severity,moderate_blur,154,1,0,37,116
bytetrack_persist_1,severity,severe_blur,65,1,0,6,58
bytetrack_persist_1,class,backpack,21,1,0,10,10
bytetrack_persist_1,class,bottle,10,0,0,4,6
bytetrack_persist_1,class,chair,208,3,0,48,157
bytetrack_persist_1,class,couch,6,0,0,0,6
bytetrack_persist_1,class,dining table,34,0,0,0,34
bytetrack_persist_1,class,dog,1,0,0,1,0
bytetrack_persist_1,class,person,64,1,0,27,36
bytetrack_persist_1,video,video1,71,2,0,20,49
bytetrack_persist_1,video,video2,49,1,0,5,43
bytetrack_persist_1,video,video3,64,1,0,14,49
bytetrack_persist_1,video,video4,76,1,0,35,40
bytetrack_persist_1,video,video5,15,0,0,3,12
bytetrack_persist_1,video,video6,34,0,0,12,22
bytetrack_persist_1,video,video7,35,0,0,1,34
bytetrack_persist_3,severity,clear,125,3,0,47,75
bytetrack_persist_3,severity,moderate_blur,154,3,0,37,114
bytetrack_persist_3,severity,severe_blur,65,1,0,6,58
bytetrack_persist_3,class,backpack,21,1,0,10,10
bytetrack_persist_3,class,bottle,10,0,0,4,6
bytetrack_persist_3,class,chair,208,5,0,48,155
bytetrack_persist_3,class,couch,6,0,0,0,6
bytetrack_persist_3,class,dining table,34,0,0,0,34
bytetrack_persist_3,class,dog,1,0,0,1,0
bytetrack_persist_3,class,person,64,1,0,27,36
bytetrack_persist_3,video,video1,71,4,0,20,47
bytetrack_persist_3,video,video2,49,1,0,5,43
bytetrack_persist_3,video,video3,64,1,0,14,49
bytetrack_persist_3,video,video4,76,1,0,35,40
bytetrack_persist_3,video,video5,15,0,0,3,12
bytetrack_persist_3,video,video6,34,0,0,12,22
bytetrack_persist_3,video,video7,35,0,0,1,34
bytetrack_persist_5,severity,clear,125,3,0,47,75
bytetrack_persist_5,severity,moderate_blur,154,3,0,37,114
bytetrack_persist_5,severity,severe_blur,65,1,0,6,58
bytetrack_persist_5,class,backpack,21,1,0,10,10
bytetrack_persist_5,class,bottle,10,0,0,4,6
bytetrack_persist_5,class,chair,208,5,0,48,155
bytetrack_persist_5,class,couch,6,0,0,0,6
bytetrack_persist_5,class,dining table,34,0,0,0,34
