model,confidence,seed,degradation,severity,filter,psnr,ssim,precision,recall,map50,preprocess_ms,yolo_ms,total_ms,n_images
yolov8n.pt,0.25,0,none,-,raw,inf,1.0,0.7644,0.4767,0.4255,0.001,122.582,122.583,40
yolov8n.pt,0.25,0,none,-,gaussian,26.142,0.789,0.7248,0.3871,0.3242,1.791,91.182,92.973,40
yolov8n.pt,0.25,0,none,-,bilateral,32.159,0.8852,0.7262,0.4373,0.3331,12.957,92.443,105.4,40
yolov8n.pt,0.25,0,none,-,wiener_denoise,30.658,0.8258,0.7547,0.4301,0.3471,71.996,95.255,167.251,40
yolov8n.pt,0.25,0,none,-,wiener_deconv,13.462,0.2191,1.0,0.0072,0.0052,63.197,93.014,156.211,40
yolov8n.pt,0.25,0,none,-,clahe,19.986,0.8408,0.7647,0.4659,0.4096,6.992,87.33,94.322,40
yolov8n.pt,0.25,0,noise,mild,raw,28.339,0.6915,0.7919,0.4229,0.3478,0.001,90.854,90.855,40
yolov8n.pt,0.25,0,noise,mild,gaussian,25.911,0.7593,0.7407,0.3584,0.2851,0.766,89.229,89.995,40
yolov8n.pt,0.25,0,noise,mild,bilateral,31.519,0.8707,0.7256,0.4265,0.3369,12.068,91.62,103.688,40
yolov8n.pt,0.25,0,noise,mild,wiener_denoise,29.289,0.7951,0.7597,0.4194,0.3414,67.769,95.923,163.692,40
yolov8n.pt,0.25,0,noise,mild,wiener_deconv,12.271,0.0701,0.2,0.0036,0.0002,67.812,102.699,170.511,40
yolov8n.pt,0.25,0,noise,mild,clahe,18.148,0.5302,0.777,0.3871,0.2854,3.562,95.215,98.777,40
yolov8n.pt,0.25,0,noise,medium,raw,20.656,0.3924,0.7629,0.2652,0.1861,0.001,91.623,91.624,40
yolov8n.pt,0.25,0,noise,medium,gaussian,24.952,0.6669,0.7521,0.3262,0.2527,0.845,95.969,96.814,40
yolov8n.pt,0.25,0,noise,medium,bilateral,28.051,0.7325,0.7231,0.3369,0.251,12.14,97.223,109.364,40
yolov8n.pt,0.25,0,noise,medium,wiener_denoise,26.348,0.6917,0.75,0.3441,0.2358,67.253,96.323,163.576,40
yolov8n.pt,0.25,0,noise,medium,wiener_deconv,9.808,0.0322,0.0,0.0,0.0,61.675,91.893,153.568,40
yolov8n.pt,0.25,0,noise,medium,clahe,14.954,0.3237,0.7292,0.2509,0.1647,3.898,101.351,105.249,40
yolov8n.pt,0.25,0,noise,strong,raw,15.962,0.2349,0.6981,0.1326,0.086,0.001,97.984,97.985,40
yolov8n.pt,0.25,0,noise,strong,gaussian,23.196,0.5419,0.7349,0.2186,0.1675,0.77,90.412,91.182,40
yolov8n.pt,0.25,0,noise,strong,bilateral,21.093,0.3961,0.6742,0.2151,0.118,12.414,95.995,108.409,40
yolov8n.pt,0.25,0,noise,strong,wiener_denoise,23.172,0.532,0.7,0.2509,0.1594,69.388,94.929,164.317,40
yolov8n.pt,0.25,0,noise,strong,wiener_deconv,8.043,0.0186,0.0,0.0,0.0,63.539,95.016,158.555,40
yolov8n.pt,0.25,0,noise,strong,clahe,12.297,0.21,0.7619,0.1147,0.0547,3.926,89.09,93.016,40
yolov8n.pt,0.25,0,blur,mild,raw,24.909,0.7558,0.697,0.2473,0.1542,0.001,93.988,93.989,40
yolov8n.pt,0.25,0,blur,mild,gaussian,23.96,0.6877,0.7238,0.2724,0.2109,0.757,95.595,96.352,40
yolov8n.pt,0.25,0,blur,mild,bilateral,24.458,0.6968,0.7027,0.2796,0.218,12.21,91.314,103.524,40
yolov8n.pt,0.25,0,blur,mild,wiener_denoise,24.486,0.696,0.7027,0.2796,0.2182,67.308,87.507,154.815,40
yolov8n.pt,0.25,0,blur,mild,wiener_deconv,27.336,0.8727,0.7591,0.3728,0.3178,50.83,66.561,117.391,40
yolov8n.pt,0.25,0,blur,mild,clahe,18.911,0.6885,0.6262,0.2401,0.1377,2.999,65.355,68.353,40
yolov8n.pt,0.25,0,blur,medium,raw,22.765,0.6587,0.7377,0.1613,0.0677,0.001,61.692,61.692,40
yolov8n.pt,0.25,0,blur,medium,gaussian,22.332,0.6137,0.6986,0.1828,0.1089,0.584,65.845,66.43,40
yolov8n.pt,0.25,0,blur,medium,bilateral,22.574,0.6202,0.6849,0.1792,0.1084,9.295,61.289,70.584,40
yolov8n.pt,0.25,0,blur,medium,wiener_denoise,22.591,0.6207,0.7162,0.19,0.1331,50.485,62.254,112.739,40
yolov8n.pt,0.25,0,blur,medium,wiener_deconv,24.459,0.7872,0.7708,0.2652,0.1998,49.503,64.667,114.17,40
yolov8n.pt,0.25,0,blur,medium,clahe,18.375,0.6035,0.7258,0.1613,0.0582,2.909,63.893,66.801,40
yolov8n.pt,0.25,0,blur,severe,raw,21.19,0.5956,0.6053,0.0824,0.0464,0.001,66.421,66.422,40
yolov8n.pt,0.25,0,blur,severe,gaussian,20.953,0.5636,0.65,0.0932,0.0427,0.649,70.919,71.569,40
yolov8n.pt,0.25,0,blur,severe,bilateral,21.085,0.5673,0.6286,0.0789,0.0391,9.649,63.73,73.379,40
yolov8n.pt,0.25,0,blur,severe,wiener_denoise,21.097,0.5691,0.6341,0.0932,0.0423,52.583,64.033,116.616,40
yolov8n.pt,0.25,0,blur,severe,wiener_deconv,22.279,0.7076,0.7465,0.19,0.0906,56.706,80.294,137.0,40
yolov8n.pt,0.25,0,blur,severe,clahe,17.89,0.547,0.6585,0.0968,0.0423,3.311,75.077,78.388,40
yolov8n.pt,0.25,0,low_light,mild,raw,13.822,0.7031,0.7862,0.448,0.3808,0.004,98.227,98.231,40
yolov8n.pt,0.25,0,low_light,mild,gaussian,13.539,0.6207,0.7192,0.3763,0.3165,0.804,99.879,100.683,40
yolov8n.pt,0.25,0,low_light,mild,bilateral,13.682,0.651,0.7532,0.4158,0.3219,12.403,92.627,105.03,40
yolov8n.pt,0.25,0,low_light,mild,wiener_denoise,13.614,0.648,0.7632,0.4158,0.3399,68.746,90.564,159.311,40
yolov8n.pt,0.25,0,low_light,mild,wiener_deconv,11.586,0.1128,0.6667,0.0143,0.0017,62.924,92.286,155.21,40
yolov8n.pt,0.25,0,low_light,mild,clahe,17.758,0.6945,0.7423,0.4337,0.3375,2.899,63.598,66.497,40
yolov8n.pt,0.25,0,low_light,medium,raw,9.599,0.2799,0.6957,0.2294,0.1375,0.001,80.211,80.212,40
yolov8n.pt,0.25,0,low_light,medium,gaussian,9.589,0.3816,0.7553,0.2545,0.1655,0.636,69.124,69.76,40
yolov8n.pt,0.25,0,low_light,medium,bilateral,9.596,0.386,0.7632,0.3118,0.2166,10.265,71.8,82.065,40
yolov8n.pt,0.25,0,low_light,medium,wiener_denoise,9.565,0.3832,0.7736,0.2939,0.1846,51.993,66.844,118.838,40
yolov8n.pt,0.25,0,low_light,medium,wiener_deconv,8.965,0.0471,0.2,0.0036,0.0001,50.684,68.313,118.997,40
yolov8n.pt,0.25,0,low_light,medium,clahe,13.375,0.3863,0.686,0.2115,0.1144,2.9,65.682,68.583,40
yolov8n.pt,0.25,0,low_light,severe,raw,7.382,0.0855,1.0,0.0036,0.0005,0.001,65.69,65.691,40
yolov8n.pt,0.25,0,low_light,severe,gaussian,7.457,0.1948,0.5333,0.0287,0.0023,0.669,69.169,69.838,40
yolov8n.pt,0.25,0,low_light,severe,bilateral,7.424,0.1932,0.6,0.0215,0.0027,13.641,96.645,110.287,40
yolov8n.pt,0.25,0,low_light,severe,wiener_denoise,7.415,0.1794,0.625,0.0179,0.0019,59.361,83.425,142.786,40
yolov8n.pt,0.25,0,low_light,severe,wiener_deconv,7.712,0.0254,0.0,0.0,0.0,66.626,101.773,168.399,40
yolov8n.pt,0.25,0,low_light,severe,clahe,9.41,0.1307,0.0,0.0,0.0,4.221,110.063,114.285,40
yolov8n.pt,0.25,0,glare,mild,raw,18.244,0.9266,0.7283,0.4516,0.3903,0.001,118.784,118.785,40
yolov8n.pt,0.25,0,glare,mild,gaussian,17.639,0.7666,0.7368,0.4014,0.3211,0.83,115.817,116.646,40
yolov8n.pt,0.25,0,glare,mild,bilateral,18.194,0.8731,0.7317,0.4301,0.3394,12.376,114.871,127.248,40
yolov8n.pt,0.25,0,glare,mild,wiener_denoise,18.203,0.8016,0.7425,0.4444,0.3327,77.3,119.678,196.978,40
yolov8n.pt,0.25,0,glare,mild,wiener_deconv,11.888,0.2062,0.0,0.0,0.0,67.6,107.943,175.543,40
yolov8n.pt,0.25,0,glare,mild,clahe,16.889,0.7747,0.7616,0.4695,0.3838,5.18,99.593,104.773,40
yolov8n.pt,0.25,0,glare,medium,raw,13.649,0.8119,0.7622,0.448,0.3629,0.001,99.923,99.924,40
yolov8n.pt,0.25,0,glare,medium,gaussian,13.525,0.7018,0.731,0.3799,0.2758,0.608,75.789,76.397,40
yolov8n.pt,0.25,0,glare,medium,bilateral,13.651,0.7957,0.7532,0.4265,0.3414,9.924,72.785,82.709,40
yolov8n.pt,0.25,0,glare,medium,wiener_denoise,13.743,0.7344,0.7562,0.4337,0.3176,54.035,72.284,126.318,40
yolov8n.pt,0.25,0,glare,medium,wiener_deconv,10.503,0.2034,0.0,0.0,0.0,61.769,97.023,158.792,40
yolov8n.pt,0.25,0,glare,medium,clahe,13.727,0.7004,0.7595,0.4301,0.3359,3.159,70.735,73.894,40
yolov8n.pt,0.25,0,glare,severe,raw,10.893,0.6799,0.7375,0.4229,0.3545,0.001,67.273,67.274,40
yolov8n.pt,0.25,0,glare,severe,gaussian,10.892,0.6151,0.7338,0.3656,0.2379,0.596,65.765,66.361,40
yolov8n.pt,0.25,0,glare,severe,bilateral,10.896,0.6846,0.7632,0.4158,0.3443,9.682,63.413,73.094,40
yolov8n.pt,0.25,0,glare,severe,wiener_denoise,11.002,0.6437,0.7655,0.3978,0.2923,49.645,66.674,116.319,40
yolov8n.pt,0.25,0,glare,severe,wiener_deconv,9.293,0.204,0.0,0.0,0.0,48.395,65.517,113.912,40
yolov8n.pt,0.25,0,glare,severe,clahe,11.232,0.6166,0.755,0.4086,0.3204,3.539,63.761,67.3,40
