model,confidence_threshold,quality_group,filter,n_frames,precision,recall,map50
yolov8n.pt,0.15,clear,bilateral,27,0.8,0.096,0.0694
yolov8n.pt,0.15,clear,clahe,27,0.6,0.144,0.0994
yolov8n.pt,0.15,clear,gaussian,27,0.8571,0.144,0.0872
yolov8n.pt,0.15,clear,raw,27,0.7368,0.112,0.0838
yolov8n.pt,0.15,clear,wiener_deconv,27,0.0,0.0,0.0
yolov8n.pt,0.15,clear,wiener_denoise,27,0.8235,0.112,0.0738
yolov8n.pt,0.15,moderate_blur,bilateral,35,0.4,0.026,0.0186
yolov8n.pt,0.15,moderate_blur,clahe,35,0.625,0.0649,0.0755
yolov8n.pt,0.15,moderate_blur,gaussian,35,0.5,0.0325,0.02
yolov8n.pt,0.15,moderate_blur,raw,35,0.8,0.0519,0.0705
yolov8n.pt,0.15,moderate_blur,wiener_deconv,35,0.0,0.0,0.0
yolov8n.pt,0.15,moderate_blur,wiener_denoise,35,0.5,0.0325,0.02
yolov8n.pt,0.15,severe_blur,bilateral,19,0.0,0.0,0.0
yolov8n.pt,0.15,severe_blur,clahe,19,0.2,0.0154,0.0118
yolov8n.pt,0.15,severe_blur,gaussian,19,0.0,0.0,0.0
yolov8n.pt,0.15,severe_blur,raw,19,1.0,0.0154,0.0118
yolov8n.pt,0.15,severe_blur,wiener_deconv,19,0.0,0.0,0.0
yolov8n.pt,0.15,severe_blur,wiener_denoise,19,0.0,0.0,0.0
