model,confidence_threshold,video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,raw,0,0.0,0.009,1067.59,1067.599,True
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,gaussian,0,0.0,0.918,41.82,42.738,True
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,bilateral,0,0.0,8.619,46.306,54.925,True
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,wiener_denoise,0,0.0,37.075,44.416,81.492,True
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,wiener_deconv,0,0.0,51.615,51.628,103.243,True
yolov8n.pt,0.15,video1,v01_20-16_f00054_t01.82_clear.png,clahe,0,0.0,86.031,51.413,137.445,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,raw,0,0.0,0.0,54.102,54.102,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,gaussian,0,0.0,0.564,49.207,49.771,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,bilateral,0,0.0,9.349,52.342,61.692,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,wiener_denoise,0,0.0,45.693,52.722,98.414,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,wiener_deconv,0,0.0,63.456,51.284,114.74,True
yolov8n.pt,0.15,video1,v01_20-16_f00081_t02.73_clear.png,clahe,0,0.0,2.805,53.111,55.915,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,raw,0,0.0,0.001,50.459,50.46,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,gaussian,0,0.0,0.602,52.927,53.529,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,bilateral,0,0.0,8.679,49.866,58.546,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,wiener_denoise,0,0.0,41.571,52.192,93.763,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,wiener_deconv,0,0.0,57.959,52.699,110.659,True
yolov8n.pt,0.15,video1,v01_20-16_f00108_t03.63_moderate_blur.png,clahe,0,0.0,4.957,53.547,58.504,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,raw,0,0.0,0.0,56.389,56.39,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,gaussian,0,0.0,0.557,44.25,44.807,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,bilateral,0,0.0,8.688,47.554,56.242,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,wiener_denoise,0,0.0,41.232,48.0,89.232,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,wiener_deconv,0,0.0,57.757,49.095,106.852,True
yolov8n.pt,0.15,video1,v01_20-16_f00162_t05.45_moderate_blur.png,clahe,0,0.0,3.049,47.936,50.985,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,raw,5,0.47,0.0,41.624,41.624,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,gaussian,7,0.3876,0.506,41.871,42.377,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,bilateral,4,0.4809,8.93,47.752,56.683,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,wiener_denoise,5,0.4521,35.183,36.056,71.239,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,wiener_deconv,0,0.0,59.212,51.56,110.772,True
yolov8n.pt,0.15,video1,v01_20-16_f00189_t06.36_clear.png,clahe,6,0.3302,2.609,46.075,48.685,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,raw,1,0.2277,0.001,51.309,51.31,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,gaussian,1,0.2448,0.62,45.38,46.0,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,bilateral,1,0.1859,8.452,41.817,50.269,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,wiener_denoise,1,0.2542,39.735,45.708,85.443,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,wiener_deconv,0,0.0,54.251,48.269,102.52,True
yolov8n.pt,0.15,video1,v01_20-16_f00270_t09.09_moderate_blur.png,clahe,1,0.1537,2.747,44.691,47.438,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,raw,0,0.0,0.0,42.212,42.213,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,gaussian,0,0.0,0.653,47.88,48.534,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,bilateral,0,0.0,8.689,57.413,66.102,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,wiener_denoise,0,0.0,43.839,44.847,88.686,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,wiener_deconv,0,0.0,56.06,50.328,106.388,True
yolov8n.pt,0.15,video1,v01_20-16_f00325_t10.94_clear.png,clahe,0,0.0,2.768,55.538,58.306,True
