model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video1/v01_20-16_f00054_t01.82_clear,video1,clear,temporal_fixed,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00054_t01.82_clear,video1,clear,temporal_quality_weighted,56,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00081_t02.73_clear,video1,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00081_t02.73_clear,video1,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00108_t03.63_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_fixed,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00162_t05.45_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_fixed,56,16,True,4,0.5291,True,3,0.4954,lost
yolov8n.pt,0.15,video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_quality_weighted,56,16,True,4,0.5291,True,2,0.4994,lost
yolov8n.pt,0.15,video1/v01_20-16_f00189_t06.36_clear,video1,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00270_t09.09_moderate_blur,video1,moderate_blur,temporal_fixed,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00270_t09.09_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00325_t10.94_clear,video1,clear,temporal_fixed,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00325_t10.94_clear,video1,clear,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00352_t11.85_moderate_blur,video1,moderate_blur,temporal_fixed,56,10,True,1,0.192,True,1,0.1591,no_change
yolov8n.pt,0.15,video1/v01_20-16_f00352_t11.85_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,10,True,1,0.192,True,1,0.1718,no_change
yolov8n.pt,0.15,video1/v01_20-16_f00379_t12.75_severe_blur,video1,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00379_t12.75_severe_blur,video1,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00433_t14.57_severe_blur,video1,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00487_t16.39_moderate_blur,video1,moderate_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_fixed,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video1/v01_20-16_f00541_t18.21_severe_blur,video1,severe_blur,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_fixed,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_quality_weighted,56,4,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00000_t00.00_clear,video2,clear,temporal_quality_weighted,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_fixed,56,5,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_fixed,60,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video2/v02_20-18_f00037_t01.23_moderate_blur,video2,moderate_blur,temporal_quality_weighted,56,5,False,0,,False,0,,still_missed
