method,frame_id,video,target_frame,timestamp,quality_group,detection_index,class_id,class,confidence,track_id,missed_frames_before_target,persisted,is_true_positive,is_false_positive,is_stale_persisted_fp,x1,y1,x2,y2,model,confidence_threshold
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,60,dining table,0.6629,,0,False,False,True,False,0.382,226.5,185.766,418.896,yolov8n.pt,0.15
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.5291,,0,False,True,False,False,0.394,227.173,185.512,419.262,yolov8n.pt,0.15
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.4314,,0,False,True,False,False,0.64,3.089,155.135,267.121,yolov8n.pt,0.15
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.3639,,0,False,True,False,False,161.012,1.566,361.187,211.705,yolov8n.pt,0.15
raw,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,4,56,chair,0.3626,,0,False,True,False,False,2.817,78.684,161.356,270.945,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,56,chair,0.3674,7,0,False,True,False,False,0.0,78.17,168.564,265.418,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,0,60,dining table,0.6629,,0,False,False,True,False,0.382,226.5,185.766,418.896,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,1,56,chair,0.5291,,0,False,True,False,False,0.394,227.173,185.512,419.262,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,2,56,chair,0.4314,,0,False,True,False,False,0.64,3.089,155.135,267.121,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00189_t06.36_clear,video1,185,06.36,clear,3,56,chair,0.3639,,0,False,True,False,False,161.012,1.566,361.187,211.705,yolov8n.pt,0.15
